tipo;longitude;latitude;bairro;iptu;preco;condominio;area;quartos;banheiros;suites;vagas;caracteristicas
Apartamento;-46.554964;-23.68307;Rudge Ramos;71;386000;420;71;3;2;1;2;[Churrasqueira,Espaco gourmet,Academia,Salao de festas,Piscina,Playground,Salao de jogos,Sauna,Jardim,Varanda,Quadra poliesportiva]
Apartamento;-46.595024;-23.654366;Taboao;700;295000;350;52;2;1;0;1;[Academia,Churrasqueira,Piscina,Quadra poliesportiva,Salao de festas]
Apartamento;-46.565451;-23.668471;Vila Caminho do Mar;1020;450000;520;66;2;2;1;2;[Varanda,Area de servico,Churrasqueira,Jardim,Espaco gourmet,Academia,Salao de festas,Playground,Piscina,Quadra poliesportiva,Piscina adulto,Piscina infantil,Salao de jogos]
Apartamento;-46.610742;-23.65916;Vila Santa Luzia;0;249900;0;51;2;1;0;1;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Varanda]
Apartamento;-46.550959;-23.690139;Centro;250;1696900;1600;237;4;5;4;4;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA,Varanda gourmet]
Apartamento;-46.565149;-23.707981;Planalto;100;329300;395;56;2;2;1;1;[Churrasqueira,Piscina,Varanda,Area de servico]
Apartamento;-46.534544;-23.721613;Santa Terezinha;90;220000;220;55;2;1;0;1;
Apartamento;-46.547317;-23.721197;Vila Joao Basso;0;250000;280;48;2;1;0;1;[Academia,Churrasqueira,Jardim,Piscina,Playground,Salao de festas,Salao de jogos,Espaco gourmet]
Apartamento;-46.564854;-23.68507;Vila Margarida;360;1100000;1253;210;4;5;4;4;[Churrasqueira,Piscina,Varanda,Espaco gourmet,SPA,Sauna,Area de servico]
Apartamento;-46.547742;-23.687349;Baeta Neves;0;1100000;850;147;3;1;2;3;[Piscina infantil,Academia,Churrasqueira,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Cinema,SPA,Area de servico,Varanda gourmet]
Apartamento;-46.561093;-23.685387;Jardim do Mar;175;1100000;630;150;3;4;3;3;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA,Varanda gourmet]
Apartamento;-46.566181;-23.721606;Assuncao;35;220000;320;52;2;1;1;2;[Churrasqueira]
Apartamento;-46.569019;-23.707477;Planalto;780;240000;360;44;2;1;;1;[Academia,Churrasqueira,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.563069;-23.686391;Jardim do Mar;0;440000;700;68;2;2;0;2;[Churrasqueira,Varanda gourmet,Varanda,Sauna,Area de servico]
Apartamento;-46.561408;-23.728071;Vila Jerusalem;0;185000;230;45;2;1;0;1;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Varanda gourmet]
Apartamento;-46.551009;-23.68887;Centro;100;2400;423;52;2;1;0;1;[Churrasqueira,Espaco gourmet,Playground,Piscina,Cinema,Salao de jogos,SPA,Varanda gourmet,Sauna]
Apartamento;-46.610324;-23.668254;Taboao;0;182985;140;40;2;1;0;0;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Area de servico]
Apartamento;-46.580492;-23.701099;Independência;100;2400;423;52;2;1;0;2;[Salao de jogos,Area de servico]
Apartamento;-46.563486;-23.69087;Jardim Chacara Inglesa;102;1045992;825;127;3;5;3;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,SPA,Varanda gourmet]
Apartamento;-46.547895;-23.694018;Centro;60;410000;435;75;2;2;0;1;[Varanda,Area de servico]
Apartamento;-46.580064;-23.646796;Rudge Ramos;0;289000;0;55;2;1;1;1;[Academia,Churrasqueira,Espaco gourmet,Piscina,Playground,Varanda gourmet]
Apartamento;-46.554468;-23.705997;Vila Dusi;890;321900;611;75;3;1;1;1;[Academia,Salao de festas,Salao de jogos,Playground]
Apartamento;-46.541516;-23.700435;Baeta Neves;0;1500;0;79;2;2;0;1;
Apartamento;-46.562813;-23.668342;Vila Caminho do Mar;117;532000;638;104;3;1;1;2;[Churrasqueira,Varanda,Salao de jogos,Area de servico]
Apartamento;-46.553287;-23.718212;Centro;0;289000;250;50;2;1;0;1;[Churrasqueira,Piscina,Playground,Quadra poliesportiva,Academia,Salao de jogos]
Apartamento;-46.549493;-23.707059;Centro;115;395000;778;67;3;3;1;2;[Salao de jogos,Salao de festas,Playground]
Apartamento;-46.563666;-23.68983;Jardim Chacara Inglesa;158;1040000;870;151;3;3;1;2;[Churrasqueira,Espaco gourmet,Academia,Playground,Piscina,Quadra poliesportiva,Salao de festas]
Apartamento;-46.568425;-23.707658;Planalto;200;985000;750;144;4;0;3;3;[Churrasqueira,Piscina,Sauna,Varanda,Area de servico,Playground,Quadra poliesportiva,Salao de jogos]
Apartamento;-46.549022;-23.700628;Nova Petropolis;78;285000;286;46;2;1;0;1;[Academia,Churrasqueira,Espaco gourmet,Piscina,Varanda,Jardim,Area de servico]
Apartamento;-46.534796;-23.724395;Ferrazopolis;0;191000;470;55;2;1;0;1;
Apartamento;-46.539059;-23.689514;Baeta Neves;0;545000;0;65;2;2;1;2;[Academia,Churrasqueira,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos]
Apartamento;-46.560004;-23.712079;Vila Goncalves;740;265000;280;47;2;1;0;1;
Apartamento;-46.559772;-23.723519;Cidade Miramar;56;230000;305;56;2;1;0;1;
Apartamento;-46.546097;-23.690951;Baeta Neves;35;276000;437;60;2;1;0;1;[Playground,Salao de festas,Jardim,Area de servico,Varanda]
Apartamento;-46.550959;-23.690139;Centro;0;770000;830;123;3;2;1;2;[Academia,Churrasqueira,Cinema,Espaco gourmet,Jardim,Piscina,Playground,Quadra poliesportiva,Salao de festas,Salao de jogos,Sauna,Varanda gourmet]
Apartamento;-46.547671;-23.685558;Centro;1459;429850;378;77;2;2;1;1;[Churrasqueira,Academia,Cinema,Piscina,Playground,Quadra poliesportiva,Salao de jogos,Salao de festas,Sauna]
